Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Kratimenos, Agelos; Avramidis, Kleanthis; Garoufis, Christos; Zlatintsi, Athanasia; Maragos, Petros; ",Augmentation methods on monophonic audio for instrument classification in polyphonic music,2020 28th European Signal Processing Conference (EUSIPCO),,,156-160,2021,IEEE
"Avramidis, Kleanthis; Rostami, Mohammad; Chang, Melinda; Narayanan, Shrikanth; ",Automating Detection of Papilledema in Pediatric Fundus Images with Explainable Machine Learning,2022 IEEE International conference on Image Processing (ICIP),,,3973-3977,2022,IEEE
"Avramidis, Kleanthis; Garoufis, Christos; Zlatintsi, Athanasia; Maragos, Petros; ",Enhancing affective representations of music-induced EEG through multimodal supervision and latent domain adaptation,"ICASSP 2022-2022 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,,4588-4592,2022,IEEE
"Avramidis, Kleanthis; Stewart, Shanti; Narayanan, Shrikanth; ",On the Role of Visual Context in Enriching Music Representations,"ICASSP 2023-2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,,1-5,2023,IEEE
"Avramidis, Kleanthis; Zlatintsi, Athanasia; Garoufis, Christos; Maragos, Petros; ",Multiscale fractal analysis on EEG signals for music-induced emotion recognition,2021 29th European Signal Processing Conference (EUSIPCO),,,1316-1320,2021,IEEE
"Avramidis, Kleanthis; Kratimenos, Agelos; Garoufis, Christos; Zlatintsi, Athanasia; Maragos, Petros; ",Deep convolutional and recurrent networks for polyphonic instrument classification from monophonic raw audio waveforms,"ICASSP 2021-2021 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,,3010-3014,2021,IEEE
"Stewart, Shanti; Feng, Tiantian; Avramidis, Kleanthis; Narayanan, Shrikanth; ",Emotion-Aligned Contrastive Learning Between Images and Music,arXiv preprint arXiv:2308.12610,,,,2023,
"Avramidis, Kleanthis; Feng, Tiantian; Bose, Digbalay; Narayanan, Shrikanth; ",Multimodal Estimation Of Change Points Of Physiological Arousal During Driving,"2023 IEEE International Conference on Acoustics, Speech, and Signal Processing Workshops (ICASSPW)",,,1-5,2023,IEEE
"Avramidis, Kleanthis; Adsul, Kranti; Bose, Digbalay; Narayanan, Shrikanth; ",Signal Processing Grand Challenge 2023–E-Prevention: Sleep Behavior as an Indicator of Relapses in Psychotic Patients,"ICASSP 2023-2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,,1-2,2023,IEEE
"Avramidis, Kleanthis; ",Affective analysis and interpretation of brain responses to music Stimuli,,,,,2022,
